You are using the XLSTAT trial version. Number of days remaining until the trial expires: 14;;;;;;;;;;;
;;;;;;;;;;;
sss;;;;;;;;;;;
Observations/variables table: Workbook = GRAB.csv / Sheet = GRAB / Range = GRAB!$A$2:$A$526 / 524 rows and 1 column;;;;;;;;;;;
Cluster rows;;;;;;;;;;;
Dissimilarity: Euclidean distance;;;;;;;;;;;
Agglomeration method: Ward's method;;;;;;;;;;;
Center: No / Reduce: No;;;;;;;;;;;
Truncation: Hartigan index (adapted);;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Summary statistics:;;;;;;;;;;;
;;;;;;;;;;;
Variable;Observations;Obs. with missing data;Obs. without missing data;Minimum;Maximum;Mean;Std. deviation;;;;
01/12/2021;524;0;524;44532,000;45294,000;44912,824;220,179;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Node statistics:;;;;;;;;;;;
;;;;;;;;;;;
Node;Level;Weight;Objects;Left son;Right son;;;;;;
1047;15295466,844;524;524;1044;1046;;;;;;
1046;6394913,138;378;378;1042;1045;;;;;;
1045;2083549,640;250;250;1041;1043;;;;;;
1044;385966,731;146;146;1035;1040;;;;;;
1043;273504,911;128;128;1036;1037;;;;;;
1042;244098,809;128;128;1033;1039;;;;;;
1041;213855,573;122;122;1031;1038;;;;;;
1040;96158,533;91;91;1027;1034;;;;;;
1039;73243,792;83;83;1029;1032;;;;;;
1038;59815,385;78;78;1028;1030;;;;;;
1037;45561,418;70;70;1024;1026;;;;;;
1036;25043,864;58;58;1018;1025;;;;;;
1035;22300,178;55;55;1016;1023;;;;;;
1034;19779,629;53;53;1017;1022;;;;;;
1033;12115,201;45;45;1009;1021;;;;;;
1032;10304,097;44;44;1008;1020;;;;;;
1031;10269,019;44;44;1003;1019;;;;;;
1030;7972,800;39;39;1007;1012;;;;;;
1029;7284,217;39;39;1006;1014;;;;;;
1028;7284,217;39;39;1004;1011;;;;;;
1027;6764,447;38;38;1001;1002;;;;;;
1026;6545,749;37;37;996;1015;;;;;;
1025;5145,000;35;35;997;1013;;;;;;
1024;4338,259;33;33;992;1005;;;;;;
1023;4140,121;31;31;993;999;;;;;;
1022;2940,000;30;30;965;1010;;;;;;
1021;2192,404;26;26;987;1000;;;;;;
1020;1837,500;25;25;981;998;;;;;;
1019;1837,500;25;25;967;995;;;;;;
1018;1671,636;23;23;954;991;;;;;;
1017;1671,636;23;23;946;990;;;;;;
1016;1604,444;24;24;942;994;;;;;;
1015;1585,237;22;22;950;989;;;;;;
1014;980,000;20;20;984;985;;;;;;
1013;980,000;20;20;977;978;;;;;;
1012;980,000;20;20;973;974;;;;;;
1011;980,000;20;20;970;971;;;;;;
1010;980,000;20;20;963;964;;;;;;
1009;863,289;19;19;957;986;;;;;;
1008;863,289;19;19;958;980;;;;;;
1007;863,289;19;19;956;972;;;;;;
1006;849,137;19;19;955;983;;;;;;
1005;849,137;19;19;951;976;;;;;;
1004;849,137;19;19;948;969;;;;;;
1003;849,137;19;19;947;966;;;;;;
1002;849,137;19;19;944;962;;;;;;
1001;849,137;19;19;943;961;;;;;;
1000;633,750;16;16;940;988;;;;;;
999;517,147;16;16;939;941;;;;;;
998;367,500;15;15;924;982;;;;;;
997;367,500;15;15;913;979;;;;;;
996;367,500;15;15;901;975;;;;;;
995;367,500;15;15;882;968;;;;;;
994;367,500;15;15;859;960;;;;;;
993;367,500;15;15;855;959;;;;;;
992;314,325;14;14;905;952;;;;;;
991;314,325;14;14;915;953;;;;;;
990;314,325;14;14;873;945;;;;;;
989;311,803;13;13;839;949;;;;;;
988;122,500;10;10;937;938;;;;;;
987;122,500;10;10;935;936;;;;;;
986;122,500;10;10;932;933;;;;;;
985;122,500;10;10;930;931;;;;;;
984;122,500;10;10;928;929;;;;;;
983;122,500;10;10;926;927;;;;;;
982;122,500;10;10;922;923;;;;;;
981;122,500;10;10;920;921;;;;;;
980;122,500;10;10;918;919;;;;;;
979;122,500;10;10;911;912;;;;;;
978;122,500;10;10;909;910;;;;;;
977;122,500;10;10;907;908;;;;;;
976;122,500;10;10;903;904;;;;;;
975;122,500;10;10;899;900;;;;;;
974;122,500;10;10;895;896;;;;;;
973;122,500;10;10;893;894;;;;;;
972;122,500;10;10;890;891;;;;;;
971;122,500;10;10;888;889;;;;;;
970;122,500;10;10;886;887;;;;;;
969;122,500;10;10;884;885;;;;;;
968;122,500;10;10;880;881;;;;;;
967;122,500;10;10;878;879;;;;;;
966;122,500;10;10;876;877;;;;;;
965;122,500;10;10;870;871;;;;;;
964;122,500;10;10;868;869;;;;;;
963;122,500;10;10;866;867;;;;;;
962;122,500;10;10;863;864;;;;;;
961;122,500;10;10;861;862;;;;;;
960;122,500;10;10;857;858;;;;;;
959;122,500;10;10;853;854;;;;;;
958;101,250;9;9;849;917;;;;;;
957;101,250;9;9;850;934;;;;;;
956;101,250;9;9;848;892;;;;;;
955;93,889;9;9;846;925;;;;;;
954;93,889;9;9;845;916;;;;;;
953;93,889;9;9;844;914;;;;;;
952;93,889;9;9;843;906;;;;;;
951;93,889;9;9;842;902;;;;;;
950;93,889;9;9;841;898;;;;;;
949;93,889;9;9;840;897;;;;;;
948;93,889;9;9;838;883;;;;;;
947;93,889;9;9;837;875;;;;;;
946;93,889;9;9;836;874;;;;;;
945;93,889;9;9;835;872;;;;;;
944;93,889;9;9;834;865;;;;;;
943;93,889;9;9;833;860;;;;;;
942;93,889;9;9;832;856;;;;;;
941;93,889;9;9;831;852;;;;;;
940;48,000;6;6;739;847;;;;;;
939;43,214;7;7;525;851;;;;;;
938;7,500;5;5;735;830;;;;;;
937;7,500;5;5;733;829;;;;;;
936;7,500;5;5;731;828;;;;;;
935;7,500;5;5;729;827;;;;;;
934;7,500;5;5;726;825;;;;;;
933;7,500;5;5;724;824;;;;;;
932;7,500;5;5;722;823;;;;;;
931;7,500;5;5;720;822;;;;;;
930;7,500;5;5;718;821;;;;;;
929;7,500;5;5;716;820;;;;;;
928;7,500;5;5;714;819;;;;;;
927;7,500;5;5;712;818;;;;;;
926;7,500;5;5;710;817;;;;;;
925;7,500;5;5;708;816;;;;;;
924;7,500;5;5;704;815;;;;;;
923;7,500;5;5;702;814;;;;;;
922;7,500;5;5;700;813;;;;;;
921;7,500;5;5;698;812;;;;;;
920;7,500;5;5;696;811;;;;;;
919;7,500;5;5;694;810;;;;;;
918;7,500;5;5;692;809;;;;;;
917;7,500;5;5;690;808;;;;;;
916;7,500;5;5;687;806;;;;;;
915;7,500;5;5;683;805;;;;;;
914;7,500;5;5;681;804;;;;;;
913;7,500;5;5;677;803;;;;;;
912;7,500;5;5;675;802;;;;;;
911;7,500;5;5;673;801;;;;;;
910;7,500;5;5;671;800;;;;;;
909;7,500;5;5;669;799;;;;;;
